"ISSN","T.tulo","Estrato","Area"
"01292021","SOUTHEAST ASIAN BULLETIN OF MATHEMATICS","B5","matematica_probabilidade_e_estatistica"
"19732201","STATISTICA","C ","matematica_probabilidade_e_estatistica"
"08654824","SYMMETRY: CULTURE AND SCIENCE","B5","matematica_probabilidade_e_estatistica"
"14716976","TEACHING MATHEMATICS AND ITS APPLICATIONS (ONLINE)","B5","matematica_probabilidade_e_estatistica"
"18741177","THE OPEN MATHEMATICS JOURNAL","C ","matematica_probabilidade_e_estatistica"
"10886850","TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY (ONLINE)","A1","matematica_probabilidade_e_estatistica"
"20524986","TRANSACTIONS OF THE LONDON MATHEMATICAL SOCIETY","B1","matematica_probabilidade_e_estatistica"
"18123996","VESTNIK OMSKOGO UNIVERSITETA","C ","matematica_probabilidade_e_estatistica"
"18152910","ZB�RNIK PRAC' �NSTITUTU MATEMATIKI NAN UKRAINI","C ","matematica_probabilidade_e_estatistica"
"23337931","ACTA BIOMATERIALIA ODONTOLOGICA SCANDINAVICA","B3","materiais"
"21628475","AMERICAN JOURNAL OF MATHEMATICS AND STATISTICS","B5","materiais"
"1544158X","CATALYST (DUBLIN, OHIO)","B4","materiais"
"15213765","CHEMISTRY (WEINHEIM. INTERNET)","A1","materiais"
"18755364","CHINESE JOURNAL OF NATURAL MEDICINES (ONLINE)","B3","materiais"
"2237874X","CL�NICA VETERINARIA","B5","materiais"
"15685543","COMPOSITE INTERFACES","B1","materiais"
"18756646","CURRENT BIOACTIVE COMPUND","B4","materiais"
"20588585","FLEXIBLE AND PRINTED ELECTRONICS","B3","materiais"
"00156523","FOOD PROCESSING (1968)","B5","materiais"
"22477241","GEOGEBRA INTERNATIONAL JOURNAL OF ROMANIA","B5","materiais"
"22313087","HETEROCYCLIC LETTERS","B5","materiais"
"19273037","INTERNATIONAL JOURNAL OF BIOTECHNOLOGY FOR WELLNESS INDUSTRIES","B5","materiais"
"19606214","INTERNATIONAL JOURNAL OF MATERIAL FORMING (ONLINE)","B1","materiais"
"20908644","JOURNAL OF CERAMICS","B3","materiais"
"17569745","JOURNAL OF MULTISCALE MODELLING (ONLINE)","B5","materiais"
"23155698","JOURNAL OF RESEARCH IN ENVIRONMENTAL SCIENCE AND TOXICOLOGY","B5","materiais"
"0871780X","K�RAMICA (COIMBRA)","B4","materiais"
"19352441","MATERIALS SCIENCE RESEARCH JOURNAL","B3","materiais"
"16134990","MICROFLUIDICS AND NANOFLUIDICS (INTERNET)","B1","materiais"
"10290435","MOLECULAR SIMULATION (ONLINE)","A2","materiais"
"21632588","NANOSCIENCE AND NANOTECHNOLOGY","B3","materiais"
"11111119","NYSSA","B5","materiais"
"21798796","ODONTO MAGAZINE","B5","materiais"
"21617414","OPEN JOURNAL OF INORGANIC CHEMISTRY","B3","materiais"
"23284978","OPEN JOURNAL OF MATHEMATICAL MODELING","B5","materiais"
"21603006","ORTHODONTICS","B2","materiais"
"18513026","QUEBRACHO","B5","materiais"
"01026895","REVISTA DE F�SICA APLICADA E INSTRUMENTA��O","B4","materiais"
